Date,Control Room No.,Inverter No.,Daily Generation (KW),Monthly Generation (KW),Yearly Generation (KW),Daily PLF (%),Monthly PLF (%),Yearly PLF (%),Generation Hrs. HR:MM,U (Unsheduled) HR:MM,S (Scheduled) HR:MM,F.M (Force Measures) HR:MM,GF (Grid Fault) HR:MM,Grid OK Hrs.(6 am to 7 pm) HR:MM,Total Grid Hrs.,Plant Availability (%),Grid Availability (%),Remarks of the day,Avg Tilted radiation in KWH/Mtr.Sq
17-Sep-25,LT Panel 1,Inverter No-1,1458.699951171875,0.0,0,19.8%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-2,1274.699951171875,0.0,0,17.3%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-3,1469.300048828125,0.0,0,19.94%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-4,1454.300048828125,0.0,0,19.74%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-5,1456.5,0.0,0,19.77%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-6,1447.300048828125,0.0,0,19.64%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-7,1453.5999755859375,0.0,0,19.73%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-8,1330.300048828125,0.0,0,18.06%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 1,Inverter No-9,1448.0999755859375,0.0,0,19.65%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-10,1442.9000244140625,0.0,0,19.58%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-11,1450.800048828125,0.0,0,19.69%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-12,1447.800048828125,0.0,0,19.65%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-13,1444.5999755859375,0.0,0,19.61%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-14,1450.5999755859375,0.0,0,19.69%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-15,1456.800048828125,0.0,0,19.77%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-16,1453.5999755859375,0.0,0,19.73%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-17,1293.5999755859375,0.0,0,17.56%,0%,,,,,,,,,,,,5.606029138571641
17-Sep-25,LT Panel 2,Inverter No-18,1454.199951171875,0.0,0,19.74%,0%,,,,,,,,,,,,5.606029138571641
