message,attributes,tags,timestamp
🔌 Disconnected,"{""level"":""info""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464718021Z
Traceback (most recent call last):,"{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464723312Z
"  File ""/app/logger.py"", line 57, in <module>","{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464729080Z
    collection.insert_one(record),"{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464733064Z
"  File ""/app/.venv/lib/python3.11/site-packages/pymongo/synchronous/collection.py"", line 891, in insert_one","{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464737049Z
    self._insert_one(,"{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464741072Z
"  File ""/app/.venv/lib/python3.11/site-packages/pymongo/synchronous/collection.py"", line 831, in _insert_one","{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464746076Z
    self._database.client._retryable_write(,"{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464750483Z
"  File ""/app/.venv/lib/python3.11/site-packages/pymongo/synchronous/mongo_client.py"", line 2082, in _retryable_write","{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464754443Z
"    return self._retry_with_session(retryable, func, s, bulk, operation, operation_id)","{""level"":""error""}","{""project"":""da7b9f8b-00fb-4c23-a601-65e98be02e28"",""environment"":""49c3d4d5-8b77-49ea-a8af-6f5ac97fd565"",""service"":""ccb5eb55-0cfa-4470-8248-430aec5741cb"",""deployment"":""56fb5b1a-f278-4563-9aa4-d353ca907ab7"",""replica"":""a0727e0a-eb31-4369-94be-e8ad0b92d63e""}",2025-09-30T12:23:20.464758361Z
